"factor","rank","feature","base_series","loading","abs_loading","direction"
"F1",1,"m__total_credit__lag001","total_credit",NA,NA,NA
"F1",2,"m__pce_essential_idx__lag001","pce_essential_idx",NA,NA,NA
"F1",3,"m__pce_fcsu_idx__lag001","pce_fcsu_idx",NA,NA,NA
"F1",4,"m__nonrevolving_credit__lag001","nonrevolving_credit",NA,NA,NA
"F1",5,"q__median_hh_income_q__lag001","median_hh_income_q",NA,NA,NA
"F1",6,"m__social_security__lag001","social_security",NA,NA,NA
"F1",7,"m__household_networth__lag001","household_networth",NA,NA,NA
"F1",8,"m__transfers_total__lag001","transfers_total",NA,NA,NA
"F1",9,"m__transfer_composite__lag001","transfer_composite",NA,NA,NA
"F1",10,"m__home_equity__lag001","home_equity",NA,NA,NA
"F1",11,"m__fhfa_hpi__lag001","fhfa_hpi",NA,NA,NA
"F1",12,"m__credit_composite__lag001","credit_composite",NA,NA,NA
"F2",1,"q__wealth_share_gap_top10_bottom50__lag001","wealth_share_gap_top10_bottom50",NA,NA,NA
"F2",2,"q__bottom50_wealth_share__lag001","bottom50_wealth_share",NA,NA,NA
"F2",3,"q__poverty_all_q__lag001","poverty_all_q",NA,NA,NA
"F2",4,"q__top10_wealth_share__lag001","top10_wealth_share",NA,NA,NA
"F2",5,"m__fed_funds__lag001","fed_funds",NA,NA,NA
"F2",6,"q__pce_discretionary_cex_idx__lag001","pce_discretionary_cex_idx",NA,NA,NA
"F2",7,"q__poverty_child_q__lag001","poverty_child_q",NA,NA,NA
"F2",8,"m__pce_discretionary_idx__lag001","pce_discretionary_idx",NA,NA,NA
"F2",9,"m__snap_persons__lag001","snap_persons",NA,NA,NA
"F2",10,"q__wealth_share_gap_top1_bottom50__lag001","wealth_share_gap_top1_bottom50",NA,NA,NA
"F2",11,"m__transfer_composite_fp__lag001","transfer_composite_fp",NA,NA,NA
"F2",12,"q__median_real_income_fred_q__lag001","median_real_income_fred_q",NA,NA,NA
